Investor,Short Description,Long Description
Ideaspace,"Arthrologic creates low cost, high quality and Asian-fit total joint implants","Arthrologic designs and develops a TKA (Total Knee Arthroplasty) system that is simple and evidence-based, utilizing successful clinical data, to improve surgical skills with easy-to-use and surgeon-friendly instrumentation to assure successful and predictable results and offer a very competitive cost to provide a greater majority of patients access to the technology and improve their living.

​The product is an Asian-fit, 2-Component Total Knee Arthroplasty system for definitive surgical treatment of severe end-stage OsteoArthritic knees."
Ideaspace,"BluLemons is a Filipino-themed mobile gaming studio
","​BluLemons Gaming Studio is an all-Filipino theme Mobile Gaming studio. They develop games that are based on Filipino Culture.

​They believe that creating Mobile Games is a great avenue to showcase what the Philippines has to offer globally. Their vision is to create games that will have an impact on both Filipino Youth but across other cultures. "
Ideaspace,Croo is a wearable safety button that informs your loved ones about your location during an emergency.,"Croo enables people to swiftly send information to their loved ones when the need arises without typing anything or calling anyone. Once the button in the accessory is clicked, an SMS will be sent to your predetermined emergency contacts through the smartphone application.

Text message contains important information such as the person’s current location and nearby landmarks. With this, the person’s contacts will be equipped to take necessary actions to help and respond accordingly."
Ideaspace,​DateCola produces natural date enriched beverages,"The Company has the opportunity to create the next billion dollar (US) brands out of the registered trademarks Datë CoLa & DatëSweet.

More than a decade of continuous research and developmental works by the team members have resulted to the formulation of the Datë CoLa, DatëSweet and other Datë (Dates-enriched) and flavored beverages, which would likely distract the benchmarks that were established by the leading beverage companies.

The Company will be engaged in international licensing of intellectual properties (IPs) & franchising of business systems.
"
Ideaspace,FAME develops general aviation and maritime transponders and gateways,"Despite current transponder technologies available like ADS-B for large aircrafts and AIS for large ships, air and sea mishaps happen. Out of 85 airports in the Philippines only 10 has radar capability.
Out of almost 429 fishing ports and 821 commercial ports only 2 have VTMS capability for monitoring ships.

FAME developed an affordable and easily installable small form factor transponder and gateway that uses LoRa (Long Range Network) with a range of 21 Miles.

​Pilots and Sea Captains can use it as secondary radar for safety and efficiency. Used as a gateway, airports and ports can have the ability to monitor air and sea traffic in real-time. "
Ideaspace,"​Frontlearners is a ready-to-use, cost effective e-School-in-a-Box with interactive K12 lessons that can be used even without internet.","Frontlearners help schools with the e-School-in-a-Box, for schools to be able to expand enrollment capacity.

Classes need not be in the confines of the classrooms, students have flexibility to study anytime, anywhere and teachers are able to manage classes more effectively with e-School tools.

The e-School-in-a-Box contains thousands of lessons and exercises aligned with the DepED K12 curriculum and works with or without the internet, thus is ready-to-use by any school."
Ideaspace,​Fliptrip is an online booking platform for off the beaten path destinations in the Philippines​,"​FlipTrip provides users access to detailed information on their destination/s of interest and the ability to choose and directly book all the components of their travel arrangements (transportation, accommodation and activity/tours) from start to finish on one easy and secure platform.

​Users are given the freedom to choose each part of their travel plans according to their individual preferences; budgets, schedule, travel wants and needs."
Ideaspace,"​Flexstrap is a universal pipe fitting that connects water ​service applications through its flexible design​
","FlexStrap is an innovation of the conventional design which is inflexible and heavy. For a pipe network that has seven different pipe sizes with two different materials per size, FlexStrap will significantly reduce saddle clamp type by 79%.
"
Ideaspace,Halina't Bumasa builds apps for toddlers that foster love for learning and the Filipino culture,"As new parents, they experienced firsthand how smart phones and tablets can engage infants and toddlers. Educational apps allow them to learn at their own pace, and to choose the content of what they learn. But wonderful as these apps are, Halina't Bumasa feels that most of these apps are designed for the western consumers.

Much of the content is foreign to local children, you have things like “I” is for “igloo” and the currencies are in “quarters” and “dimes”, or the images of buses doesn't match the rickety buses plying along EDSA-- hence, Halina't Bumasa develops educational apps for toddlers for a deeper appreciation for Filipino culture."
Ideaspace,Heat Stress Analyzer is an IoT sensor and app that helps farmers to maximize their yield through advanced monitoring and analytics of crop condition,"Heat stress extensively damages crops in the 35% of the total farms in the Philippines which contributes to the P10.1 Billion ($6.4M) loss annually for the agri-sector.

Crop heat stress results when a sudden increase in temperature from the sun causes a great reduction on the maximum potential yield of the farm.

Filipino famers are still into traditional way of knowing the condition of the crop called the “feel method”. This method gives inaccurate care and inefficient response on the crops need against crop stress.

​Heat Stress Analyzer solves the difficulty of the famers in managing and taking care of the crops with proper and fast response on the needs of the crops before crop heat stress will occur. 
"
Ideaspace,"JustGo transforms public utility tricycles into hybrids through
​an economical conversion technology
","Instead of replacing perfectly running tricycles with expensive electric tricycles, the JustGO tri-brid system allows tricycles to enjoy the benefits on an electric drivetrain as a hybrid vehicle. Tri-brids are 65% less costly to refuel and are easier to maintain.

They are not inflicted with range-anxiety and their smaller battery packs could be recharged in just 5 minutes. They are designed to be safer and their modern aesthetic looks add delight to passengers and provide beauty on the streets."
Ideaspace,"​myChild is an Education Technology Company that helps schools, teachers and parents communicate, engage and collaborate","MyChild is an easy to use school information system to improve customer relationship with parents and more importantly, enhance the partnership in the education of their children.

It helps schools, teachers and parents communicate, engage and collaborate to create the best learning environment for every child"
Ideaspace,"PortfolioMNL is an online marketplace for creative professionals
","PortfolioMNL is a “one-stop shop,” a consolidated framework where hiring employers from anywhere in the world can tap into the ASEAN creative talent pool to deliver their projects.

​Our solution disrupts the existing, but highly disorganized ASEAN creative marketplace by providing an efficient mechanism that address the needs of would-be employers while protecting the interests of ASEAN creatives across all industries.
"
Ideaspace,Mobkard allows merchants to create real time and location based promotions,"Mobkard provides the synergy to address the needs of retail marketplace and organizations.

On one end, it is the only service available where merchants can create real-time and location based promotions right from their own devices. On the other end, Mobkard digitizes privilege cards of organizations thereby making it easy for their members to avail of various privileges and discounts."
Ideaspace,"Nyfti makes handmade three-fold bicycles.
","Nyfti Bicycles are innovators in the cycling industry. Their first product is a 3-fold bicycle that has a geometry of a full-sized bicycle, yet has the smallest fold volume in its category.

​Its compact fold, rolling and cycling mode is most appreciated in a city setting."
Ideaspace,"Smartfleet is a SAAS that enables transport fleets with operations automation, booking, and analytics solutions 
","Smartfleet provides: Operations Automation includes Dispatching, Cashiering, Maintenance, Driver Profile, Franchise Management, and Reports; Telemetry includes monitoring of Vehicle and Engine performance, Gas Consumption, and GPS/Location.;

​Booking capability gives back the control to the company; Analytics (Big Data) includes Traffic Management, Demand Planning and Process Automation capabilities. The solution is cloud-based, service-oriented and modular, which allows fleet companies to pick what they need."
Ideaspace,PGRS is a roadway-based technology that generates electricity by harvesting residual kinetic energy from moving vehicles and also acts as a road safety device.​,"As the demand for electricity increases, conventional power plants gobble up more fossil fuels which significantly contribute to climate change. Thus, the world is in pursuit of clean alternative sources of energy. We have developed PGRS, a power generation technology that is:

Promoting Energy Efficiency and Environmental Friendliness – By harvesting only residual energies to produce power, PGRS doesn’t burn fossil fuels.
​
Practicable – Unlike conventional power plants, PGRS doesn’t need a vast land area for its auxiliary equipment.
Vastly Applicable – With the current expanse of road networks existing, the viability of PGRS installations is unimaginable.
"
Ideaspace,Pinoytravel is a provincial bus seat reservation platform,"Pinoytravel is an online aggregator for the 115 long distance bus companies in the Philippines. It sells directly to consumers and partners with travel agents and kiosks who resells to “unconnected” consumers.

​For consumers with internet access, book through web and mobile app, pay with credit cards, online banking, OTC payment centers. For consumers without internet connection, go to partner resellers or travel agents to buy tickets."
Ideaspace,"R-TAP is a real-time pump controller for efficient water distribution
","Hiraya Water is a smart water management company. Hiraya's first product is called R-TAP, an advanced pressure management system that helps water utilities optimize their pump operation, which significantly reduces water losses and power consumption.
"
Ideaspace,"SALt designed and developed a cost-effective and environment friendly lamp fueled by saltwater
","​There are over 7,000 islands in the Philippines and many of these islands do not have access to electricity.

​According to the Philippine Institute for Developmental Studies-- 16 Million Filipinos still use battery-powered and kerosene-based lamps as their main source of lighting and would spend PHP 6,000 on average every year t o sustain their source of light.

The SALt lamp is an ecologically designed, cost effective and environment friendly alternative to kerosene-based lamps that is fueled by salt water.
"
Ideaspace,Stream Energy helps buildings produce hydroelectricity from their own tap water system in order to save on energy costs.,"Stream Energy is a clean energy startup that offers Micro-Hydroelectric Technology (MHT) for building establishments. This enables buildings to generate their own supplemental electricity from existing water consumption.

​Ultimately, this leads to clients reaping financial savings on their energy bill. It produces electricity from water flow already being consumed by buildings. Given similar month-on-month water consumption, the electricity produced is therefore predictable. This offers clients easier management of their energy needs, atop savings on their energy bill.
"
Ideaspace,​Tactiles develops educational toys for electronics engineering,"Tactiles produces modular, intelligent and connected educational hardware that can make the learning experience for STEM subjects more interesting and effective.

The hardware kit is modular which gives the students the flexibility to design, create and explore. The blocks are intelligent and allow interaction with its environment and provides the stimulus necessary to aid learning.

​The blocks are capable of communicating with each other and to other devices allowing monitoring, control and interaction with PCs and tablets.
"
Ideaspace,​Tambio is a platform for automatic raffle activation.,"​Tambio makes raffle joining easier by relieving customers of the burden of manually filling up raffle tickets without removing the fun of dropping raffle tickets in a tambiolo (raffle drum / barrel).

​With the use of mobile devices and printers, traditional paper raffles are now getting analytics through Tambio. Ease of joining and tracking for consumers; and real time analytics for companies.
"
